Title; Year; Original_line; Line_number; Last_word; Last_word_POS
Деревенский нищий; 1886; За железной решеткой в темнице; 12; темнице; NOUN
Деревенский нищий; 1886; Редко виден страдалец такой.В долгий век свой немало он силы; 13; силы; NOUN
Деревенский нищий; 1886; За тяжелой работой убил,; 14; убил; VERB
Деревенский нищий; 1886; Но, должно быть, у края могилы; 15; могилы; NOUN
Деревенский нищий; 1886; Уж не стало хватать ему сил.Он идет из селенья в селенье,; 16; селенье; NOUN
Деревенский нищий; 1886; А мольбу чуть лепечет язык,; 17; язык; NOUN
Деревенский нищий; 1886; Смерть близка уж, но много мученья; 18; мученья; NOUN
Деревенский нищий; 1886; Перетерпит несчастный старик.Он заснул… А потом со стенаньем; 19; стенаньем; NOUN
Деревенский нищий; 1886; Грустно видеть, ка много страданья; 21; страданья; NOUN
Деревенский нищий; 1886; И тоски и нужды на Руси!; 22; Руси; NOUN
Сириус; 1922; Где ты, звезда моя заветная,; 1; заветная; ADJF
Сириус; 1922; Венец небесной красоты?; 2; красоты; NOUN
Сириус; 1922; Очарованье безответное; 3; безответное; ADJF
Сириус; 1922; Снегов и лунной высоты? Где вы, скитания полночные; 4; полночные; ADJF
Сириус; 1922; В равнинах светлых и нагих,; 5; нагих; ADJF
Сириус; 1922; Надежды, думы непорочные; 6; непорочные; ADJF
Сириус; 1922; Далеких юных лет моих? Пылай, играй стоцветной силою,; 7; силою; NOUN
Сириус; 1922; Неугасимая звезда,; 8; звезда; NOUN
Сириус; 1922; Над дальнею моей могилою,; 9; могилою; NOUN
Сириус; 1922; Забытой богом навсегда!; 10; навсегда; ADVB
Гроза прошла над лесом стороною…; 1901; Гроза прошла над лесом стороною.; 1; стороною; NOUN
Гроза прошла над лесом стороною…; 1901; Иду один тропинкою лесною,; 3; лесною; NOUN
Гроза прошла над лесом стороною…; 1901; И в синеве вечерней надо мною; 4; мною; NPRO
Гроза прошла над лесом стороною…; 1901; Слезою светлой искриться звезда.; 5; звезда; NOUN
Венеция; 1913; Всякий раз, когда вокзал минуешь; 2; минуешь; VERB
Венеция; 1913; И на пристань выйдешь, удивляет; 3; удивляет; VERB
Венеция; 1913; Тишина Венеции, пьянеешь; 4; пьянеешь; VERB
Венеция; 1913; От морского воздуха каналов.; 5; каналов; NOUN
Венеция; 1913; Эти лодки, барки, маслянистый; 6; маслянистый; ADJF
Венеция; 1913; Блеск воды, огнями озарённой,; 7; озарённой; PRTF
Венеция; 1913; А за нею низкий ряд фасадов; 8; фасадов; NOUN
Венеция; 1913; Как бы из слоновой грязной кости,; 9; кости; NOUN
Венеция; 1913; А над ними синий южный вечер,; 10; вечер; NOUN
Венеция; 1913; Мокрый и ненастный, но налитый; 11; налитый; PRTF
Венеция; 1913; Радостно всё это было видеть!; 13; видеть; INFN
На просёлке; 1895; Тишина, тишина на полях!; 2; полях; NOUN
На просёлке; 1895; Заросла повиликой-травою; 3; повиликойтравою; NOUN
На просёлке; 1895; Полевая дорога в хлебах.; 4; хлебах; NOUN
Песня (Я простая девка на баштане); Год написания не известен; Я — простая девка на баштане,; 1; баштане; NOUN
Песня (Я простая девка на баштане); Год написания не известен; Он — рыбак, веселый человек.; 2; человек; NOUN
Песня (Я простая девка на баштане); Год написания не известен; Тонет белый парус на Лимане,; 3; Лимане; NOUN
Песня (Я простая девка на баштане); Год написания не известен; Много видел он морей и рек.Говорят, гречанки на Босфоре; 4; Босфоре; NOUN
Песня (Я простая девка на баштане); Год написания не известен; Хороши… А я черна, худа.; 5; худа; NOUN
Песня (Я простая девка на баштане); Год написания не известен; Не дождусь — с баштана разочтусь,; 8; разочтусь; VERB
Песня (Я простая девка на баштане); Год написания не известен; Выйду к морю, брошу перстень в воду; 9; воду; NOUN
Песня (Я простая девка на баштане); Год написания не известен; И косою черной удавлюсь.; 10; удавлюсь; VERB
Учан-Су; 1900; Свежее, слаще воздух горный.; 1; горный; ADJF
Учан-Су; 1900; Невнятный шум идет в лесу:; 2; лесу; NOUN
Учан-Су; 1900; Поет веселый и проворный,; 3; проворный; ADJF
Учан-Су; 1900; Со скал летящий Учан-Су!; 4; УчанСу; NOUN
Учан-Су; 1900; Глядишь — и, точно застывая,; 5; застывая; GRND
Учан-Су; 1900; Но в то же время ропот свой,; 6; свой; ADJF
Учан-Су; 1900; Прозрачной пылью снеговой; 8; снеговой; ADJF
Учан-Су; 1900; Несется вниз струя живая,; 9; живая; ADJF
Учан-Су; 1900; Как тонкий флер, сквозит огнем,; 10; огнем; NOUN
Учан-Су; 1900; Скользит со скал фатой венчальной; 11; венчальной; ADJF
Учан-Су; 1900; И вдруг, и пеной, и дождем; 12; дождем; NOUN
Учан-Су; 1900; Свергаясь в черный водоем,; 13; водоем; NOUN
Учан-Су; 1900; А горы в синей вышине!; 15; вышине; NOUN
Учан-Су; 1900; А южный бор и сосен шепот!; 16; шепот; NOUN
Учан-Су; 1900; Под этот шум и влажный ропот; 17; ропот; NOUN
Учан-Су; 1900; Стоишь, как в светлом полусне.; 18; полусне; NOUN
Беру твою руку и долго смотрю на нее…; 1898; Беру твою руку и долго смотрю на нее,; 1; нее; NPRO
Беру твою руку и долго смотрю на нее…; 1898; Ты в сладкой истоме глаза поднимаешь несмело:; 2; несмело; ADVB
Беру твою руку и долго смотрю на нее…; 1898; Вот в этой руке — все твое бытие,; 3; бытие; NOUN
Беру твою руку и долго смотрю на нее…; 1898; Я всю тебя чувствую — душу и тело.; 4; тело; NOUN
Мандрагора; 1907; Цветок Мандрагора из могил расцветает,; 1; расцветает; VERB
Мандрагора; 1907; Над гробами зарытых возле виселиц чёрных.; 2; чёрных; ADJF
Мандрагора; 1907; И она расцветает в травах диких и сорных.; 4; сорных; ADJF
Мечты любви моей весенней…; 1922; Мечты любви моей весенней,; 1; весенней; ADJF
Мечты любви моей весенней…; 1922; Мечты на утре дней моих; 2; моих; ADJF
Мечты любви моей весенней…; 1922; Толпились — как стада оленей; 3; оленей; NOUN
Мечты любви моей весенней…; 1922; У заповедных вод речных:; 4; речных; ADJF
Она лежала на спине; Год написания не известен; Я к ней вошел в полночный час.; 1; час; NOUN
Она лежала на спине; Год написания не известен; Она спала, — луна сияла; 2; сияла; VERB
Она лежала на спине; Год написания не известен; В ее окно, — и одеяла; 3; одеяла; NOUN
Она лежала на спине; Год написания не известен; Светился спущенный атлас.Она лежала на спине,; 4; спине; NOUN
Она лежала на спине; Год написания не известен; Нагие раздвоивши груди, -; 5; груди; NOUN
Она лежала на спине; Год написания не известен; И тихо, как вода в сосуде,; 6; сосуде; NOUN
Она лежала на спине; Год написания не известен; Стояла жизнь ее во сне.; 7; сне; NOUN
Канарейка; 1921; Канарейку из-за моря; 1; моря; NOUN
Канарейка; 1921; Привезли, и вот она; 2; она; NPRO
Канарейка; 1921; Золотая стала с горя,; 3; горя; NOUN
Канарейка; 1921; Тесной клеткой пленена.Птицей вольной, изумрудной; 4; изумрудной; ADJF
Канарейка; 1921; Уж не будешь, — как ни пой; 5; пой; VERB
Канарейка; 1921; Про далекий остров чудный; 6; чудный; ADJF
Канарейка; 1921; Над трактирную толпой!; 7; толпой; NOUN
На распутье в диком древнем поле…; 1900; На распутье в диком древнем поле; 1; поле; NOUN
На распутье в диком древнем поле…; 1900; черный ворон на кресте сидит.; 2; сидит; VERB
На распутье в диком древнем поле…; 1900; Заросла бурьяном степь на воле,; 3; воле; NOUN
На распутье в диком древнем поле…; 1900; и в траве заржавел старый щит.; 4; щит; NOUN
Тихой ночью поздний месяц вышел…; 1916; Тихой ночью поздний месяц вышел; 1; вышел; VERB
Тихой ночью поздний месяц вышел…; 1916; Из-за черных лип.; 2; лип; NOUN
Тихой ночью поздний месяц вышел…; 1916; Дверь балкона скрипнула, — я слышал; 3; слышал; VERB
Тихой ночью поздний месяц вышел…; 1916; Этот легкий скрип.; 4; скрип; NOUN
Тихой ночью поздний месяц вышел…; 1916; В глупой ссоре мы одни не спали,; 5; спали; VERB
Тихой ночью поздний месяц вышел…; 1916; А для нас, для нас; 6; нас; NPRO
Тихой ночью поздний месяц вышел…; 1916; В темноте аллей цветы дышали; 7; дышали; VERB
Тихой ночью поздний месяц вышел…; 1916; В этот сладкий час.; 8; час; NOUN
Тихой ночью поздний месяц вышел…; 1916; Нам тогда — тебе шестнадцать было,; 9; было; VERB
Тихой ночью поздний месяц вышел…; 1916; Мне семнадцать лет,; 10; лет; NOUN
Тихой ночью поздний месяц вышел…; 1916; Но ты помнишь, как ты отворила; 11; отворила; VERB
Тихой ночью поздний месяц вышел…; 1916; Дверь на лунный свет?; 12; свет; NOUN
Тихой ночью поздний месяц вышел…; 1916; Ты к губам платочек прижимала,; 13; прижимала; VERB
Тихой ночью поздний месяц вышел…; 1916; Смокшийся от слез,; 14; слез; NOUN
Тихой ночью поздний месяц вышел…; 1916; Ты, рыдая и дрожа, роняла; 15; роняла; VERB
Тихой ночью поздний месяц вышел…; 1916; Шпильки из волос,; 16; волос; NOUN
Тихой ночью поздний месяц вышел…; 1916; У меня от нежности и боли; 17; боли; NOUN
Тихой ночью поздний месяц вышел…; 1916; Если б, друг мой, было в нашей воле; 19; воле; NOUN
Тихой ночью поздний месяц вышел…; 1916; Эту ночь вернуть!; 20; вернуть; INFN
Чёрный камень Каабы; Год написания не известен; Он драгоценной яшмой был когда-то,; 1; когдато; NOUN
Чёрный камень Каабы; Год написания не известен; Как цвет садов блаженного Джинната,; 3; Джинната; NOUN
Чёрный камень Каабы; Год написания не известен; Как горный снег в дни солнца и весны.Дух Гавриил для старца Авраама; 4; Авраама; NOUN
Чёрный камень Каабы; Год написания не известен; Его нашёл среди песков и скал,; 5; скал; NOUN
Чёрный камень Каабы; Год написания не известен; И гении хранили двери храма,; 6; храма; NOUN
Чёрный камень Каабы; Год написания не известен; Где он жемчужной грудою сверкал.Но шли века — со всех концов вселенной; 7; вселенной; NOUN
Чёрный камень Каабы; Год написания не известен; К нему неслись молитвы, и рекой; 8; рекой; NOUN
Чёрный камень Каабы; Год написания не известен; Текли во храм, далёкий и священный,; 9; священный; ADJF
Чёрный камень Каабы; Год написания не известен; Померк от слёз и горести людской!; 11; людской; NOUN
Свет незакатный; 1917; Там, в полях, на погосте,; 1; погосте; NOUN
Свет незакатный; 1917; В роще старых берёз,; 2; берёз; NOUN
Свет незакатный; 1917; Царство радостных грёз.; 4; грёз; NOUN
Свет незакатный; 1917; Летний ветер мотает; 5; мотает; VERB
Свет незакатный; 1917; И ко мне долетает; 7; долетает; VERB
Свет незакатный; 1917; Свет улыбки твоей.; 8; твоей; ADJF
Свет незакатный; 1917; Предо мной до сих пор; 10; пор; NOUN
Свет незакатный; 1917; Институтское платье; 11; платье; NOUN
Свет незакатный; 1917; И сияющий взор.; 12; взор; NOUN
Свет незакатный; 1917; Разве ты одинока?; 13; одинока; ADJS
Свет незакатный; 1917; Разве ты не со мной?; 14; мной; NPRO
Свет незакатный; 1917; В нашем прошлом, далёком,; 15; далёком; ADJF
Свет незакатный; 1917; Где и я был иной?; 16; иной; ADJF
Свет незакатный; 1917; В мире круга земного,; 17; земного; ADJF
Свет незакатный; 1917; Настоящего дня,; 18; дня; NOUN
Свет незакатный; 1917; Молодого, былого; 19; былого; ADJF
Свет незакатный; 1917; Нет давно и меня!; 20; меня; NPRO
Как дымкой даль полей закрыв…; 1889; Как дымкой даль полей закрыв на полчаса,; 1; полчаса; NOUN
Как дымкой даль полей закрыв…; 1889; Прошел внезапный дождь косыми полосами -; 2; полосами; NOUN
Как дымкой даль полей закрыв…; 1889; И снова глубоко синеют небеса; 3; небеса; NOUN
Как дымкой даль полей закрыв…; 1889; Над освеженными лесами.; 4; лесами; NOUN
Алёнушка; 1915; Алёнушка в лесу жила,; 1; жила; VERB
Алёнушка; 1915; Алёнушка смугла была,; 2; была; VERB
Алёнушка; 1915; Глаза у ней горячие,; 3; горячие; ADJF
Алёнушка; 1915; Блескучие, стоячие,; 4; стоячие; ADJF
Алёнушка; 1915; Мала, мала Алёнушка,; 5; Алёнушка; NOUN
Алёнушка; 1915; А пьёт с отцом — до донушка.; 6; донушка; NOUN
Алёнушка; 1915; Пошла она в леса гулять,; 7; гулять; INFN
Алёнушка; 1915; Желалося любовь понять,; 8; понять; INFN
Алёнушка; 1915; Да кто в лесу встречается?; 9; встречается; VERB
Алёнушка; 1915; Одна сосна качается!; 10; качается; VERB
Алёнушка; 1915; Алёнушка соскучилась,; 11; соскучилась; VERB
Алёнушка; 1915; Лесной жарой измучилась,; 12; измучилась; VERB
Алёнушка; 1915; Зажгла она большой костёр,; 13; костёр; NOUN
Алёнушка; 1915; А в сушь огонь куда востёр!; 14; востёр; ADJS
Алёнушка; 1915; Сожгла леса Алёнушка; 15; Алёнушка; NOUN
Алёнушка; 1915; На тыщу верст, до пёнушка,; 16; пёнушка; NOUN
Алёнушка; 1915; Доныне не узналося!; 18; узналося; NOUN
Серп луны под тучкой длинной…; 1887; Серп луны под тучкой длинной; 1; длинной; ADJF
Серп луны под тучкой длинной…; 1887; Льет полночный слабый свет.; 2; свет; NOUN
Серп луны под тучкой длинной…; 1887; Над безмолвною долиной -; 3; долиной; NOUN
Серп луны под тучкой длинной…; 1887; Темной церкви силуэт.; 4; силуэт; NOUN
В Альпах; Год написания не известен; На высоте, на снеговой вершине,; 1; вершине; NOUN
В Альпах; Год написания не известен; Я вырезал стальным клинком сонет.; 2; сонет; NOUN
В Альпах; Год написания не известен; Проходят дни. Быть может, и доныне; 3; доныне; ADVB
В Альпах; Год написания не известен; Снега хранят мой одинокий след.На высоте, где небеса так сини,; 4; сини; NOUN
В Альпах; Год написания не известен; Где радостно сияет зимний свет,; 5; свет; NOUN
В Альпах; Год написания не известен; Глядело только солнце, как стилет; 6; стилет; NOUN
В Альпах; Год написания не известен; Чертил мой стих на изумрудной льдине.И весело мне думать, что поэт; 7; поэт; NOUN
В Альпах; Год написания не известен; Меня поймёт. Пусть никогда в долине; 8; долине; NOUN
В Альпах; Год написания не известен; Его толпы не радует привет! На высоте, где небеса так сини,; 9; сини; NOUN
В Альпах; Год написания не известен; Я вырезал в полдневный час сонет; 10; сонет; NOUN
В Альпах; Год написания не известен; Лишь для того, кто на вершине.; 11; вершине; NOUN
Кустарник; 1901; Жесткой, черной листвой шелестит и трепещет кустарник,; 1; кустарник; NOUN
Кустарник; 1901; Точно в снежную даль убегает в испуге.; 2; испуге; NOUN
Кустарник; 1901; В белом поле стога, косогор и забытый овчарник; 3; овчарник; NOUN
Кустарник; 1901; Тонут в белом дыму разгулявшейся вьюги.Дымный ветер кружит и несет в небе ворона боком,; 4; боком; ADVB
Кустарник; 1901; Вон прохожий вдали. Истомлен на пути одиноком,; 6; одиноком; ADJF
Кустарник; 1901; Мертвым шагом он мерно и тупо шагает.«Добрый путь, человек! Далеко ль до села, до ночлега?; 7; ночлега; NOUN
Кустарник; 1901; А куда и спешить против холода, ветра и снега?; 9; снега; NOUN
Кустарник; 1901; Хорошо ей у нас, на просторе великом!; 11; великом; ADJF
Кустарник; 1901; Бесприютная жизнь, одинокий над бурей кустарник,; 12; кустарник; NOUN
Кустарник; 1901; Не тебе одолеть в поле темном и диком!; 13; диком; NOUN
Сказка о козе; Год написания не известен; Это волчьи глаза или звезды — в стволах на краю перелеска?; 1; перелеска; NOUN
Сказка о козе; Год написания не известен; Полночь, поздняя осень, мороз.; 2; мороз; NOUN
Сказка о козе; Год написания не известен; Голый дуб надо мной весь трепещет от звездного блеска,; 3; блеска; NOUN
Сказка о козе; Год написания не известен; Под ногою сухое хрустит серебро.Затвердели, как камень, тропинки, за лето набитые.; 4; набитые; ADJF
Сказка о козе; Год написания не известен; Ты одна, ты одна, страшной сказки осенней Коза!; 5; Коза; NOUN
Сказка о козе; Год написания не известен; Расцветают, горят на железном морозе несытые; 6; несытые; ADJF
Сказка о козе; Год написания не известен; Волчьи, божьи глаза.; 7; глаза; NOUN
Что впереди? Счастливый долгий путь…; 1895; Что впереди? Счастливый долгий путь.; 1; путь; NOUN
Что впереди? Счастливый долгий путь…; 1895; Куда-то вдаль спокойно устремляет; 2; устремляет; VERB
Что впереди? Счастливый долгий путь…; 1895; Она глаза, а молодая грудь; 3; грудь; NOUN
Что впереди? Счастливый долгий путь…; 1895; Легко и мерно и дышит и чуть-чуть; 4; чутьчуть; ADVB
Что впереди? Счастливый долгий путь…; 1895; Воротничок от шеи отделяет -; 5; отделяет; VERB
Что впереди? Счастливый долгий путь…; 1895; И чувствую я слабый аромат; 6; аромат; NOUN
Что впереди? Счастливый долгий путь…; 1895; Ее волос, дыхания — и чую; 7; чую; VERB
Что впереди? Счастливый долгий путь…; 1895; Что там вдали? Но я гляжу, тоскуя,; 9; тоскуя; GRND
Что впереди? Счастливый долгий путь…; 1895; Уж не вперед, нет, я гляжу назад.; 10; назад; ADVB
Михаил; 1919; Архангел в сияющих латах; 1; латах; NOUN
Михаил; 1919; И с красным мечом из огня; 2; огня; NOUN
Михаил; 1919; Стоял на клубах синеватых; 3; синеватых; ADJF
Михаил; 1919; И дивно глядел на меня.; 4; меня; NPRO
Ночь печальна, как мечты мои…; 1900; Ночь печальна, как мечты мои.; 1; мои; ADJF
Ночь печальна, как мечты мои…; 1900; Далеко в глухой степи широкой; 2; широкой; ADJF
Ночь печальна, как мечты мои…; 1900; В сердце много грусти и любви.; 4; любви; NOUN
Мудрым; 1906; Герой — как вихрь, срывающий палатки,; 1; палатки; NOUN
Мудрым; 1906; Герой врагу безумный дал отпор,; 2; отпор; NOUN
Мудрым; 1906; Но сам погиб — сгорел в неравной схватке,; 3; схватке; NOUN
Мудрым; 1906; Как искромётный метеор.; 4; метеор; NOUN
Я не люблю, о Русь; Год написания не известен; В лесу, в горе, родник, живой и звонкий,; 1; звонкий; ADJF
Я не люблю, о Русь; Год написания не известен; Над родником старинный голубец; 2; голубец; NOUN
Я не люблю, о Русь; Год написания не известен; С лубочной почерневшею иконкой,; 3; иконкой; NOUN
Я не люблю, о Русь; Год написания не известен; А в роднике березовый корец.Я не люблю, о Русь, твоей несмелой; 4; несмелой; ADJF
Я не люблю, о Русь; Год написания не известен; Тысячелетней, рабской нищеты.; 5; нищеты; NOUN
Я не люблю, о Русь; Год написания не известен; Смиренные, родимые черты!; 7; черты; NOUN
В полночный час я встану и взгляну…; 1922; В полночный час я встану и взгляну; 1; взгляну; VERB
В полночный час я встану и взгляну…; 1922; На бледную высокую луну,; 2; луну; NOUN
В полночный час я встану и взгляну…; 1922; И на залив под нею, и на горы,; 3; горы; NOUN
В полночный час я встану и взгляну…; 1922; Внизу вода чуть блещет на песке,; 5; песке; NOUN
В полночный час я встану и взгляну…; 1922; А дальше муть, свинцовые просторы,; 6; просторы; NOUN
При свече; 1912; Голубое основанье,; 1; основанье; NOUN
При свече; 1912; Вспоминаю зимний вечер,; 3; вечер; NOUN
При свече; 1912; Детство раннее мое.Заслонив свечу рукою,; 4; рукою; NOUN
При свече; 1912; Снова вижу, как во мне; 5; мне; NPRO
При свече; 1912; Жизнь рубиновою кровью; 6; кровью; NOUN
При свече; 1912; Нежно светит на огне.Голубое основанье,; 7; основанье; NOUN
При свече; 1912; Сердцем помню только детство:; 9; детство; NOUN
При свече; 1912; Все другое — не мое.; 10; мое; ADJF
Еще утро не скоро…; 1900; Еще утро не скоро, не скоро,; 1; скоро; ADVB
Еще утро не скоро…; 1900; ночь из тихих лесов не ушла.; 2; ушла; VERB
Еще утро не скоро…; 1900; Под навесами сонного бора -; 3; бора; NOUN
Еще утро не скоро…; 1900; предрассветная теплая мгла.; 4; мгла; NOUN
Ипподром; Год написания не известен; Год за годом, считая круги,; 2; круги; NOUN
Ипподром; Год написания не известен; загоняем своих лошадей; 3; лошадей; NOUN
Христос воскрес! Опять с зарею…; 1896; Христос воскрес! Опять с зарею; 1; зарею; VERB
Христос воскрес! Опять с зарею…; 1896; Редеет долгой ночи тень,; 2; тень; NOUN
Христос воскрес! Опять с зарею…; 1896; Опять зажегся над землею; 3; землею; NOUN
Христос воскрес! Опять с зарею…; 1896; Для новой жизни новый день.; 4; день; NOUN
Все темней и кудрявей березовый лес…; 1900; Все темней и кудрявей березовый лес зеленеет,; 1; зеленеет; VERB
Все темней и кудрявей березовый лес…; 1900; Колокольчики ландышей в чаще зеленой цветут,; 2; цветут; VERB
Все темней и кудрявей березовый лес…; 1900; На рассвете в долинах теплом и черемухой веет,; 3; веет; VERB
Все темней и кудрявей березовый лес…; 1900; Соловьи до рассвета поют.; 4; поют; VERB
В полночный час; Год написания не известен; В полночный час я встану и взгляну; 1; взгляну; VERB
В полночный час; Год написания не известен; На бледную высокую луну,; 2; луну; NOUN
В полночный час; Год написания не известен; И на залив под нею, и на горы,; 3; горы; NOUN
В полночный час; Год написания не известен; Внизу вода чуть блещет на песке,; 5; песке; NOUN
В полночный час; Год написания не известен; А дальше муть, свинцовые просторы,; 6; просторы; NOUN
В полночный час; Год написания не известен; Холодный и туманный океан… Познал я, как ничтожно и не ново; 7; ново; ADJS
В полночный час; Год написания не известен; Пустое человеческое слово,; 8; слово; NOUN
В полночный час; Год написания не известен; Познал надежд и радостей обман,; 9; обман; NOUN
В полночный час; Год написания не известен; Тщету любви и терпкую разлуку; 10; разлуку; NOUN
В полночный час; Год написания не известен; С последними, немногими, кто мил,; 11; мил; NOUN
В полночный час; Год написания не известен; Кто близостью своею облегчил; 12; облегчил; VERB
В полночный час; Год написания не известен; Ненужную для мира боль и муку,; 13; муку; NOUN
В полночный час; Год написания не известен; И эти одинокие часы; 14; часы; NOUN
В полночный час; Год написания не известен; Безмолвного полуночного бденья,; 15; бденья; NOUN
В полночный час; Год написания не известен; Презрения к земле и отчужденья; 16; отчужденья; NOUN
В полночный час; Год написания не известен; От всей земной бессмысленной красы.; 17; красы; NOUN
Ночь и день; 1901; Старую книгу читаю я в долгие ночи; 1; ночи; NOUN
Ночь и день; 1901; При одиноком и тихо дрожащем огне:; 2; огне; NOUN
Ночь и день; 1901; Всё мимолетно — и скорби, и радость, и песни,; 3; песни; NOUN
Ночь и день; 1901; Вечен лишь Бог. Он в ночной неземной тишине.; 4; тишине; NOUN
Зеркало; 1916; Темнеет зимний день, спокойствие и мрак; 1; мрак; NOUN
Зеркало; 1916; Нисходят на душу — и все, что отражалось,; 2; отражалось; VERB
Зеркало; 1916; Вот так и смерть, да, может быть, вот так.В могильной темноте одна моя сигара; 4; сигара; NOUN
Зеркало; 1916; Краснеет огоньком, как дивный самоцвет:; 5; самоцвет; NOUN
Зеркало; 1916; Погаснет и она, развеется и след; 6; след; NOUN
Зеркало; 1916; Ее душистого и тонкого угара.Кто это заиграл? Чьи милые персты,; 7; персты; NOUN
Зеркало; 1916; Чьи кольца яркие вдоль клавиш побежали?; 8; побежали; VERB
Зеркало; 1916; Я не боюсь могильной темноты.; 10; темноты; NOUN
В столетнем мраке черной ели…; 1907; В столетнем мраке черной ели; 1; ели; VERB
В столетнем мраке черной ели…; 1907; Краснела темная заря,; 2; заря; NOUN
В столетнем мраке черной ели…; 1907; И светляки в кустах горели; 3; горели; VERB
В столетнем мраке черной ели…; 1907; Зеленым дымом янтаря.; 4; янтаря; NOUN
Пахарь; 1888; Легко и бледно небо голубое,; 1; голубое; ADJF
Пахарь; 1888; Поля в весенней дымке. Влажный пар; 2; пар; NOUN
Пахарь; 1888; Взрезаю я — и лезут на подвои; 3; подвои; NOUN
Пахарь; 1888; Пласты земли, бесценный божий дар.По борозде спеша за сошниками,; 4; сошниками; NOUN
Пахарь; 1888; Я оставляю мягкие следы, -; 5; следы; NOUN
Пахарь; 1888; Так хорошо разутыми ногами; 6; ногами; NOUN
Пахарь; 1888; Ступать на бархат теплой борозды! В лилово-синем море чернозема; 7; чернозема; NOUN
Пахарь; 1888; Затерян я. И далеко за мной,; 8; мной; NPRO
Пахарь; 1888; Где тусклый блеск лежит на кровле дома,; 9; дома; NOUN
Пахарь; 1888; Струится первый зной.; 10; зной; NOUN
Еще от дома на дворе…; 1892; Еще от дома на дворе; 1; дворе; NOUN
Еще от дома на дворе…; 1892; Синеют утренние тени,; 2; тени; NOUN
Еще от дома на дворе…; 1892; И под навесами строений; 3; строений; NOUN
Еще от дома на дворе…; 1892; Трава в холодном серебре,; 4; серебре; NOUN
Еще от дома на дворе…; 1892; Но уж сияет яркий зной,; 5; зной; NOUN
Еще от дома на дворе…; 1892; Давно топор стучит в сарае,; 6; сарае; NOUN
Еще от дома на дворе…; 1892; И голубей пугливых стаи; 7; стаи; NOUN
Еще от дома на дворе…; 1892; Сверкают снежной белизной.; 8; белизной; NOUN
Туча растаяла. Влажным теплом…; 1888; Туча растаяла. Влажным теплом; 1; теплом; NOUN
Туча растаяла. Влажным теплом…; 1888; Веет весенняя ночь над селом,; 2; селом; NOUN
Туча растаяла. Влажным теплом…; 1888; Ветер приносит с полей аромат,; 3; аромат; NOUN
Туча растаяла. Влажным теплом…; 1888; Слабо алеет за степью закат.; 4; закат; NOUN
Кошка; 1907; Кошка в крапиве за домом жила.; 1; жила; VERB
Кошка; 1907; Дом обветшалый молчал, как могила.; 2; могила; NOUN
Кошка; 1907; Кошка в него по ночам приходила; 3; приходила; VERB
Кошка; 1907; И замирала напротив стола.Стол обращен к образам — позабыли,; 4; позабыли; VERB
Кошка; 1907; Стол как стоял, так остался. В углу; 5; углу; NOUN
Кошка; 1907; Это горевшие свечи оплыли.Помнишь? Лежит старичок-холостяк:; 7; старичокхолостяк; NOUN
Кошка; 1907; Кротко закрыты ресницы — и кротко; 8; кротко; ADVB
Кошка; 1907; В черненький галстук воткнулась бородка.; 9; бородка; NOUN
Кошка; 1907; Свечи пылают, дрожит нависающий мрак… Темен теперь этот дом по ночам.; 10; ночам; NOUN
Кошка; 1907; Кошка приходит и светит глазами.; 11; глазами; NOUN
Кошка; 1907; Угол мерцает во тьме образами.; 12; образами; NOUN
Кошка; 1907; Ветер шумит по печам.; 13; печам; NOUN
Дедушка в молодости; 1916; Вот этот дом, сто лет тому назад,; 1; назад; ADVB
Дедушка в молодости; 1916; Был полон предками моими,; 2; моими; ADJF
Дедушка в молодости; 1916; И было утро, солнце, зелень, сад,; 3; сад; NOUN
Дедушка в молодости; 1916; Роса, цветы, а он глядел живыми,; 4; живыми; ADJF
Дедушка в молодости; 1916; Сплошь темными глазами в зеркала; 5; зеркала; NOUN
Дедушка в молодости; 1916; Богатой спальни деревенской; 6; деревенской; ADJF
Дедушка в молодости; 1916; На свой камзол, на красоту чела,; 7; чела; NOUN
Дедушка в молодости; 1916; Изысканно, с заботливостью женской; 8; женской; ADJF
Дедушка в молодости; 1916; Напудрен рисом, надушен,; 9; надушен; PRTS
Дедушка в молодости; 1916; Меж тем как пахло жаркою крапивой; 10; крапивой; NOUN
Дедушка в молодости; 1916; Из-под окна открытого, и звон,; 11; звон; NOUN
Дедушка в молодости; 1916; Торжественный и празднично-счастливый,; 12; праздничносчастливый; ADJF
Дедушка в молодости; 1916; Напоминал, что в должный срок; 13; срок; NOUN
Дедушка в молодости; 1916; Пойдет он по аллеям, где струится; 14; струится; VERB
Дедушка в молодости; 1916; С полей нагретый солнцем ветерок; 15; ветерок; NOUN
Дедушка в молодости; 1916; И золотистый свет дробится; 16; дробится; VERB
Дедушка в молодости; 1916; В тени раскидистых берез,; 17; берез; NOUN
Дедушка в молодости; 1916; Где на куртинах диких роз,; 18; роз; NOUN
Дедушка в молодости; 1916; В блаженстве ослепительного блеска,; 19; блеска; NOUN
Дедушка в молодости; 1916; Впивают пчелы теплый мед,; 20; мед; NOUN
Дедушка в молодости; 1916; Где иволга то вскрикивает резко,; 21; резко; ADVB
Дедушка в молодости; 1916; То окариною поет,; 22; поет; VERB
Дедушка в молодости; 1916; А вдалеке, за валом сада,; 23; сада; NOUN
Дедушка в молодости; 1916; Спешит народ, и краше всех — она,; 24; она; NPRO
